ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_27346	0	0	807	3
C1_27527	2	0	184	28
C1_27528	0	0	262	0
C1_27530	12	160	317	18
C1_27549	0	0	66	14
C1_27560	0	17	65	5
C1_27616	55	10	218	8
C1_27623	0	0	1396	25
C1_27669	0	7	165	15
C1_27712	6	22	218	9
C1_27732	12	56	107	79
C1_27831	0	0	7254	11
C1_27865	0	0	1072	58
C1_27919	22	91	175	9
C1_27930	45	41	1161	104
C1_27951	3258	613	5367	1237
C1_28062	15	2	135	15
C1_28100	17	6	197	3
C1_28133	7	24	191	0
C1_28141	1	4	55	40
C1_28190	46	146	159	39
C1_28224	14	37	336	109
C1_28229	361	245	1589	2359
C1_28245	0	9	341	51
C1_28248	0	0	1696	188
C1_28250	11	2	88	0
C1_28290	2	0	8418	13
C1_28292	4	0	1240	38
C1_28323	0	0	1763	42
C1_28333	142	191	147	60
C1_28401	1	113	293	50
C1_28487	0	0	61	6
C1_28493	10	51	2812	151
C1_28536	92	81	626	114
C1_28634	13	0	292	34
C1_28649	1	0	219	0
C1_28650	0	1	7375	154
C1_28713	0	0	64	3
C1_28855	0	0	861	25
C1_28860	0	0	134	205
C1_28862	2	0	1162	10
C1_28878	0	1	245	15
C1_28905	0	0	81	9
C1_28974	0	0	654	25
C1_29001	3	9	183	0
C1_29014	0	0	497	7
C1_29097	6	82	159	0
C1_29125	5	0	205	0
C1_29172	37	9	1046	119
C1_29238	0	61	175	20
C1_29282	3	25	129	4
C1_29293	1	68	281	247
C1_29298	32	122	1867	1152
C1_29380	37	90	128	15
C1_29388	16	94	1346	257
C1_29444	45	1	1841	156
C1_29466	0	0	1155	42
C1_29487	354	147	708	15
C1_29507	121	23	188	184
C1_29553	7532	6198	10310	11397
C1_29573	8	70	197	37
C1_29575	0	4	119	0
C1_29597	0	0	58	2
C1_29605	118	16	242	13
C1_29651	0	0	582	2
C1_29686	0	0	4120	2
C1_29801	56	48	664	61
C1_29822	0	0	52	2
C1_29872	3	0	70	0
C1_29925	0	0	391	0
C1_29945	0	0	160	0
C1_29989	35	41	1533	2516
C1_30136	0	2	312	0
C1_30245	4	9	111	98
C1_30273	7	0	7758	0
C1_30290	11	12	401	483
C1_30377	20	26	303	0
C1_30393	0	0	179	61
C1_30538	0	0	1391	2
C1_30570	40	7	309	6
C1_30624	18	59	84119	477
C1_30666	0	0	70	4
C1_30689	8	9	155	28
C1_30723	44	71	265	19
C1_30726	2	4	213	12
C1_30742	806	172	9961	273
C1_30952	0	2	215	811
C1_30961	58	18	237	4
C1_31039	6	303	25782	86
C1_31055	0	0	2615	66
C1_31068	26	127	779	655
C1_31148	24	2	11967	1701
C1_31155	2	0	184	8
C1_31170	126	68	678	210
C1_31186	1160	208	11978	5493
C1_31220	0	0	92	0
C1_31248	117	620	1373	979
C1_31338	3	103	157	32
C1_31385	41	14	217	28
C1_31405	0	0	190	0
C1_31416	0	0	92	37
C1_31423	44	61	477	30
C1_31465	0	0	5004	24
C1_31514	7	3	116	2
C1_31521	18	5	434	74
C1_31571	388	123	1901	518
C1_31592	32	117	697	226
C1_31610	0	0	1966	88
C1_31619	4	0	2102	218
C1_31639	189	166	397	129
C1_31646	0	0	114	22
C1_31686	0	2	3966	600
C1_31726	4	5	290	0
C1_31747	70	24	283	186
C1_31841	57	8	117	22
C1_31906	18	75	446	36
C1_31946	49	126	127	24
C1_31971	10	1	98	45
C1_31983	0	4	846	0
C1_32052	4	10	93	0
C1_32064	83	20	248	13
C1_32116	59	82	143	85
C1_32137	53	29	728	114
C1_32216	0	0	696	0
C1_32339	16	50	464	1
C1_32374	46	174	898	1062
C1_32394	0	0	357	202
C1_32414	0	0	159	0
C1_32415	19	9	975	259
C1_32450	453	413	1652	2149
C1_32460	3	15	329	10
C1_32471	1	0	3247	0
C1_32523	6	16	354	141
C1_32543	23	43	330	117
C1_32561	145	115	629	22
C1_32595	0	7	104	1
C1_32602	175	113	509	346
C1_32662	16	6	101	4
C1_32678	199	135	1297	1842
C1_32686	5	10	266	0
C1_32822	8	27	123	48
C1_32825	0	0	146	21
C1_32847	1000	952	10561	1559
C1_32886	44	119	823	691
C1_32915	1	1	41750	680
C1_32994	0	4	909	4
C1_33017	2	188	1769	210
C1_33018	51	106	105	18
C1_33036	0	0	2185	0
C1_33095	2	7	1689	906
C1_33125	68	72	103	35
C1_33153	17	0	53	0
C1_33161	30	8	107	21
C1_33162	11	15	202	11
C1_33190	5	3	97	10
C1_33224	0	5	104	42
C1_33232	200	888	3744	2810
C1_33291	1	1	160	21
C1_33354	67	1738	882	216
C1_33411	4	132	596	10
C1_33436	29	106	7268	193
C1_33529	205	10	289	45
C1_33545	0	2	446	6
C1_33672	12	8	139	0
C1_33711	174	83	260	164
C1_33727	12	0	1641	128
C1_33781	0	0	63	1
C1_33787	26	29	1800	3
C1_33834	0	25	9470	26
C1_33862	11	65	369	8
C1_33887	180	167	440	146
C1_33940	4	2	104	33
C1_33952	42	60	179	122
C1_34009	272	273	2630	2225
C1_34058	344	287	10742	794
C1_34069	9	208	206	120
C1_34074	541	887	1959	1569
C1_34079	14	58	1746	144
C1_34086	150	45	451	194
C1_34094	2	2	6258	43
C1_34106	0	0	120	1
C1_34112	8	3	75	12
C1_34188	155	0	143	0
C1_34236	5	0	12491	1305
C1_34242	2	1	472	14
C1_34335	0	0	67	0
C1_34505	7	0	171	15
C1_34602	59	60	487	20
C1_34662	0	11	68	48
C1_34671	8	8	449	40
C1_34682	29	140	624	32
C1_34774	0	1	188	0
C1_34833	9	1	95	5
C1_34901	0	0	326	0
C1_34959	8	3	113	3
C1_34982	42	79	427	127
